Last name,First name,PID,State,District,Chamber,Twitter Handle,Total 112th Tweets,,
Dingell, John D ,D,MI,12,U S  House, john_dingell,1067,,
Doggett, Lloyd,D,TX,35,U S  House, RepLloydDoggett,690,,
Dold, Robert,R,IL,10,U S  House, RepDold,428,,
Donnelly, Joe,D,IN,2,U S  House,  RepDonnelly,538,,
Doyle, Mike,D,PA,14,U S  House, USRepMikeDoyle,172,,
Dreier, David,R,CA,26,U S  House,n/a,0,,
Duffy, Sean P ,R,WI,7,U S  House, RepSeanDuffy,901,,
Duncan, John J  “Jimmy”,R,TN,2,U S  House,  RepJohnDuncanJr,0,,
Duncan, Jeff,R,SC,3,U S  House, RepJeffDuncan,785,,
Durbin, Richard J ,D,IL,,U S  Senate,  SenatorDurbin,1449,,
Edwards, Donna,D,MD,4,U S  House, repdonnaedwards,1383,,
Ellison, Keith,D,MN,5,U S  House, keithellison,2695,,
Ellmers, Renee,R,NC,2,U S  House, RepReneeEllmers,1943,,
Emerson, Jo Ann,R,MO,8,U S  House,,0,,
Engel, Eliot L ,D,NY,16,U S  House,  RepEliotEngel,285,,
Ensign, John,R,NV,,U S  Senate, SenEnsign,0,,
Enzi, Michael B ,R,WY,,U S  Senate, SenatorEnzi,230,,
Eshoo, Anna G ,D,CA,18,U S  House, RepAnnaEshoo,411,,
Farenthold, Blake,R,TX,7,U S  House, farenthold,559,,
Farr, Sam,D,CA,20,U S  House, RepSamFarr,242,,
Fattah, Chaka,D,PA,2,U S  House,  chakafattah,2154,,
Feinstein, Dianne,D,CA,,U S  Senate, Diannefeinstein,120,,
Filner, Bob,D,CA,51,U S  House, bobfilner,4,,
Fincher, Stephen,R,TN,8,U S  House, RepFincherTN08,497,,
Fitzpatrick, Michael G ,R,PA,8,U S  House, RepFitzpatrick,244,,
Flake, Jeff,R,AZ,6,U S  House, JeffFlake,229,,
Fleischmann, Chuck,R,TN,3,U S  House, RepChuck,858,,
Fleming, John,R,LA,4,U S  House, RepFleming,382,,
Flores, Bill,R,TX,17,U S  House, RepBillFlores,1378,,
Forbes, J  Randy,R,VA,4,U S  House, Randy_Forbes,1525,,
Fortenberry, Jeff,R,NE,1,U S  House, JeffFortenberry,521,,
Foxx, Virginia,R,NC,5,U S  House, virginiafoxx,802,,
Frank, Barney,D,MA,4,U S  House,,0,,
Franken, Al,D,MN,,U S  Senate,,0,,
Franks, Trent,R,AZ,8,U S  House, RepTrentFranks,646,,
Frelinghuysen, Rodney,R,NJ,11,U S  House,  USRepRodney,0,,
Fudge, Marcia L ,D,OH,11,U S  House, RepMarciaFudge,1070,,
Gallegly, Elton,R,CA,24,U S  House,  eltongallegly24,0,,
Garamendi, John,D,CA,3,U S  House, JohnGaramendi,215,,
Gardner, Cory,R,CO,4,U S  House, repcorygardner,243,,
Garrett, Scott,R,NJ,5,U S  House, RepGarrett,59,,
Gerlach, Jim,R,PA,6,U S  House, JimGerlach,211,,
Gibbs, Bob,R,OH,18,U S  House, RepBobGibbs,974,,
Gibson, Chris,R,NY,19,U S  House, RebChrisGibson,12,,
Giffords, Gabrielle,D,AZ,8,U S  House, GabbyGiffords,610,,
Gillibrand, Kirsten,D,NY,,U S  Senate,,0,,
Gingrey, Phil,R,GA,11,U S  House,RepPhilGingrey,912,,
Gohmert, Louie,R,TX,1,U S  House, replouiegohmert,1509,,
Gonzalez, Charlie,D,TX,20,U S  House, TX20CharlieG,1005,,
Goodlatte, Robert W ,R,VA,6,U S  House, RepGoodlatte,631,,
Gosar, Paul,R,AZ,4,U S  House, RepGosar,2371,,
Gowdy, Trey,R,SC,4,U S  House, TGowdySC,903,,
Graham, Lindsey,R,SC,,U S  Senate, GrahamBlog,1615,,
Granger, Kay,R,TX,12,U S  House, RepKayGranger,497,,
Grassley, Charles E ,R,IA,,U S  Senate, ChuckGrassley,1513,,
Graves, Tom,R,GA,14,U S  House, RepTomGraves,1436,,
Graves, Sam,R,MO,6,U S  House,  RepSamGraves,1932,,
Green, Gene,D,TX,29,U S  House, RepGeneGreen,85,,
Green, Al,D,TX,9,U S  House, RepAlGreen,87,,
Griffin, Tim,R,AR,2,U S  House, RepTimGriffin,3662,,
Griffith, Morgan,R,VA,9,U S  House, RepMGriffith,518,,
Grijalva, Raul M ,D,AZ,3,U S  House, RepRaulGrijalva,908,,
Grimm, Michael G ,R,NY,11,U S  House, repmichaelgrimm,158,,
Guinta, Frank,R,NH,1,U S  House,  RepFrankGuinta,557,,
Guthrie, Brett,R,KY,2,U S  House, brettguthrie,294,,
Gutierrez, Luis V ,D,IL,4,U S  House, RepGutierrez,827,,
Hagan, Kay,D,NC,,U S  Senate, SenatorHagan,1890,,
Hahn, Janice,D,CA,44,U S  House, Rep_JaniceHahn,366,,
Hall, Ralph M ,R,TX,4,U S  House,  RalphHallPress,0,,
Hanabusa, Colleen,D,HI,1,U S  House, RepHanabusa,533,,
Hanna, Richard,R,NY,22,U S  House,RepRichardHanna,1141,,
Harkin, Tom,D,IA,,U S  Senate, SenatorHarkin,950,,
Harman, Jane,D,CA,36,U S  House, RepJaneHarman,0,,
Harper, Gregg,R,MS,3,U S  House, GreggHarper,742,,
Harris, Andy,R,MD,1,U S  House,  RepAndyHarrisMD,0,,
Hartzler, Vicky,R,MO,4,U S  House, RepHartzler,1178,,
Hastings, Alcee L ,D,FL,23,U S  House, RepHastingsFL,0,,
Hastings, Doc,R,WA,4,U S  House,DocHastings,277,,
Hatch, Orrin G ,R,UT,,U S  Senate, OrrinHatch,1109,,
Hayworth, Nan,R,NY,19,U S  House, RepNanHayworth,469,,
Heck, Joe,R,NV,3,U S  House, RepJoeHeck,1267,,
Heinrich, Martin,D,NM,1,U S  House, MartinHeinrich,0,,
Heller, Dean,R,NV,,U S  Senate, SenDeanHeller,936,,
Hensarling, Jeb,R,TX,5,U S  House, RepHensarling,235,,
Herger, Wally,R,CA,2,U S  House, RepWallyHerger,0,,
Herrera Beutler, Jaime,R,WA,3,U S  House, HerreraBeutler,75,,
Higgins, Brian,D,NY,26,U S  House, RepBrianHiggins,445,,
Himes, Jim,D,CT,4,U S  House, jahimes,536,,
Hinchey, Maurice D ,D,NY,26,U S  House, mauricehinchey,106,,
Hinojosa, Ruben,D,TX,15,U S  House, USRepRHinojosa,533,,
Hirono, Mazie K ,D,HI,2,U S  House, maziehirono,2205,,
Hochul, Kathy,D,NY,26,U S  House, RepKathyHochul,844,,
Hoeven, John,R,ND,,U S  Senate, SenJohnHoeven,59,,
Holden, Tim,D,PA,17,U S  House, TimHoldenPA17,0,,
Holt, Rush D ,D,NJ,12,U S  House, RushHolt,306,,
Honda, Michael M ,D,CA,17,U S  House, RepMikeHonda,346,,
Hoyer, Steny H ,D,MD,5,U S  House,  WhipHoyer,2454,,
Huelskamp, Tim,R,KS,1,U S  House,CongHuelskamp,1289,,
Huizenga, Bill,R,MI,2,U S  House, RepHuizenga,1933,,
Hultgren, Randy,R,IL,14,U S  House, RepHultgren,918,,
Hunter, Duncan,R,CA,52,U S  House,  Rep_Hunter,0,,
Hurt, Robert,R,VA,5,U S  House, RepRobertHurt,965,,
Hutchison, Kay Bailey,R,TX,,U S  Senate, kaybaileyhutch,2387,,
Inhofe, James M ,R,OK,,U S  Senate, jiminhofe,6,,
Inouye, Daniel K ,D,HI,,U S  Senate, Daniel_Inouye,1313,,
Inslee, Jay,D,WA,1,U S  House,  GovInslee,0,,
Isakson, Johnny,R,GA,,U S  Senate,  SenatorIsakson,0,,
Israel, Steve,D,NY,3,U S  House, RepSteveIsrael,698,,
Issa, Darrell,R,CA,49,U S  House, DarrellIssa,3200,,
Jackson, Jesse L ,D,IL,2,U S  House,,0,,
Jackson Lee, Sheila,D,TX,18,U S  House, JacksonLeeTX18,485,,
Jenkins, Lynn,R,KS,2,U S  House, RepLynnJenkins,1350,,
Johanns, Mike,R,NE,,U S  Senate, Mike_Johanns,505,,
Johnson, Sam,R,TX,3,U S  House, SamsPressShop,123,,
Johnson, Timothy V ,R,IL,15,U S  House, RepTimJohnson,285,,
Johnson, Tim,D,SD,,U S  Senate, RepTimJohnson,285,,
Johnson, Eddie Bernice,D,TX,30,U S  House, RepEBJ,453,,
Johnson, Ron,R,WI,,U S  Senate, SenRonJohnson,612,,
Johnson, Hank,D,GA,4,U S  House, RepHankJohnson,838,,
Johnson, Bill,R,OH,6,U S  House, RepBillJohnson,972,,
Jones, Walter B ,R,NC,3,U S  House, RepWalterJones,139,,
Jordan, Jim,R,OH,4,U S  House, Jim_Jordan,333,,
Kaptur, Marcy,D,OH,9,U S  House, RepMarcyKaptur,55,,
Keating, William,D,MA,9,U S  House, USRepKeating,361,,
Kelly, Mike,R,PA,3,U S  House, MikeKellyPA,13,,
Kerry, John,D,MA,,U S  Senate, JohnKerry,23,,
Kildee, Dale E ,D,MI,5,U S  House,,0,,
Kind, Ron,D,WI,3,U S  House, RepRonKind,213,,
King, Steve,R,IA,4,U S  House, SteveKingIA,118,,
King, Peter T ,R,NY,2,U S  House, RepPeteKing,869,,
Kingston, Jack,R,GA,1,U S  House, JackKingston,419,,
Kinzinger, Adam,R,IL,16,U S  House, RepKinzinger,453,,
Kirk, Mark Steven,R,IL,,U S  Senate, SenatorKirk,1826,,
Kissell, Larry,D,NC,8,U S  House,  RepLarryKissell,0,,
Kline, John,R,MN,2,U S  House, repjohnkline,1284,,
Klobuchar, Amy,D,MN,,U S  Senate, amyklobuchar,913,,
Kohl, Herb,D,WI,,U S  Senate,SenHerbKohl,0,,
Kucinich, Dennis J ,D,OH,10,U S  House, Dennis_Kucinich,320,,
Kyl, Jon,R,AZ,,U S  Senate, SenJonKyl,33,,
Labrador, Raul R ,R,ID,1,U S  House, Raul_Labrador,436,,
Lamborn, Doug,R,CO,5,U S  House, RepDLamborn,182,,
Lance, Leonard,R,NJ,7,U S  House, RepLanceNJ7,130,,
Landrieu, Mary L ,D,LA,,U S  Senate,,0,,
Landry, Jeff,R,LA,3,U S  House, JeffLandry,768,,
Langevin, Jim,D,RI,2,U S  House, jimlangevin,531,,
Lankford, James,R,OK,5,U S  House, RepLankford,1498,,
Larsen, Rick,D,WA,2,U S  House, RepRickLarsen,654,,
Larson, John B ,D,CT,1,U S  House, RepJohnLarson,373,,
Latham, Tom,R,IA,3,U S  House, TomLatham,372,,
LaTourette, Steven C ,R,OH,14,U S  House, LaTourette ( Not Verified),1,,
Latta, Bob,R,OH,5,U S  House, boblatta,1626,,
Lautenberg, Frank R ,D,NJ,,U S  Senate, MaryLandrieu,1205,,
Leahy, Patrick J ,D,VT,,U S  Senate, SenatorLeahy,754,,
Lee, Christopher,R,NY,26,U S  House,,0,,
Lee, Barbara,D,CA,13,U S  House, RepBarbaraLee,755,,
Lee, Mike,R,UT,,U S  Senate, SenMikeLee ,1208,,
Levin, Sander M ,D,MI,12,U S  House,,0,,
Levin, Carl,D,MI,,U S  Senate, SenCarlLevin,283,,
Lewis, Jerry,R,CA,41,U S  House, RepJerryLewis,81,,
Lewis, John,D,GA,5,U S  House, repjohnlewis,634,,
Lieberman, Joseph I ,I,CT,,U S  Senate, JoeLieberman,505,,
Lipinski, Daniel,D,IL,3,U S  House, RepLipinski,3,,
LoBiondo, Frank A ,R,NJ,2,U S  House, RepLoBiondo,962,,
Loebsack, Dave,D,IA,2,U S  House, daveloebsack,0,,
Lofgren, Zoe,D,CA,19,U S  House, RepZoeLofgren,381,,
Long, Billy,R,MO,7,U S  House,  USRepLong,0,,
Lowey, Nita M ,D,NY,18,U S  House, NitaLowey,408,,
Lucas, Frank D ,R,OK,3,U S  House,  RepFrankLucas,0,,
Lugar, Richard G ,R,IN,,U S  Senate,  dicklugar,0,,
Luján, Ben Ray,D,NM,3,U S  House, repbenraylujan,233,,
Lummis, Cynthia M ,R,WY,1,U S  House, CynthiaLummis,540,,
Lungren, Dan,R,CA,3,U S  House, RepDanLungren (Not Verified),461,,
Lynch, Stephen F ,D,MA,8,U S  House, RepLynch,254,,
Mack, Connie,R,FL,14,U S  House,,0,,
Maloney, Carolyn B ,D,NY,12,U S  House, RepMaloney,357,,
Manchin, Joe,D,WV,,U S  Senate, Sen_JoeManchin,696,,
Manzullo, Donald,R,IL,16,U S  House,  DonManzullo,0,,
Marchant, Kenny,R,TX,24,U S  House, RepKenMarchant,2730,,
Marino, Tom,R,PA,10,U S  House, RepTomMarino,880,,
Markey, Edward J ,D,MA,7,U S  House,  MarkeyMemo,1904,,
Massie, Thomas,R,KY,4,U S  House, RepThomasMassie,17,,
Matheson, Jim,D,UT,4,U S  House, RepJimMatheson,737,,
Matsui, Doris,D,CA,6,U S  House, DorisMatsui,552,,
McCain, John,R,AZ,,U S  Senate, SenJohnMcCain,2323,,
McCarthy, Carolyn,D,NY,4,U S  House,  RepMcCarthyNY,100,,
McCarthy, Kevin,R,CA,23,U S  House, GOPWhip,2700,,
McCaskill, Claire,D,MO,,U S  Senate,  McCaskillOffice,1202,,
McCaul, Michael,R,TX,10,U S  House, McCaulPressShop,156,,
McClintock, Tom,R,CA,41,U S  House, RepMcClintock,59,,
